Description,Verdict,Character
"Sir Oliver's worthy nephew; kind-hearted and honest, but extravagant with money, whose generous nature ultimately wins his uncle's favour.",Good,Charles Surface
The unworthy nephew; a deceitful double-dealer who pretends to be moral but is exposed as a hypocrite and plotter.,Bad,Joseph Surface
An elderly nobleman married to a much younger wife. He is good-natured but frequently bickers with Lady Teazle.,Good,Sir Peter Teazle
"Sir Peter's young, country-bred wife who is nearly seduced by Joseph but repents after realizing Joseph was toying with her affections.",Good,Lady Teazle
"A scandalous, bitter widow who spreads malicious gossip to ruin others' reputations and plots to marry Charles Surface.",Bad,Lady Sneerwell
"Sir Peter's sensible ward and heiress, who is in love with Charles and resists Joseph's advances, proving her discernment.",Good,Maria
"The eldest sister, pragmatic and sensible, who is eventually reunited with and marries her previously poor, long-time love, Mr. Marsh.",Good,Fanny Lorimar
"The visionary, independent sister who proposes and manages the photography shop, embodying the ambition of the 'New Woman'.",Good,Gertrude Lorimar
"One of the younger sisters who works in the shop and, like her siblings, finds love through her new life of independence.",Good,Lucy Lorimar
"The youngest sister, sometimes the most vocal about the romantic and financial opportunities presented by their independence.",Good,Phyllis Lorimar
"The sisters' conventional, class-conscious aunt who advises them to marry for wealth, reflecting rigid Victorian societal standards.",Bad,Aunt Caroline
"Fanny's fiancé, who was too poor to marry her before going to Australia; he returns wealthy to marry her, like 'a person in a book'.",Good,Mr. Marsh
"The deceased father whose death leaves the four sisters in 'abject poverty', forcing them into a career.",Neutral,The Father (Mr. Lorimar)
"The elder son; a charismatic, self-confident idealist who is falsely disinherited by his brother and becomes the morally conflicted captain of a band of robbers.",Ambiguous,Karl Moor
"The younger son; an egoistic rationalist and cold, calculating villain who plots relentlessly to usurp his brother's inheritance and destroy his father.",Bad,Franz Moor
"The beloved father of Karl and Franz; a weak, good-hearted man who is easily misled by Franz's lies, cursing his elder son.",Good,Count Maximilian von Moor ('Old Moor')
"The Count's niece and Karl's faithful, true love, who steadfastly avoids Franz's advances while hoping to be reunited with Karl.",Good,Amalia von Edelreich
"A criminal and rival to Karl Moor; he is a murderous, unscrupulous robber who attempts to undermine Karl's leadership of the band.",Bad,Spiegelberg
"One of Karl's dedicated robber companions, who embodies reckless bravery and dies defending his captain.",Good,Roller
Another of Karl's loyal robbers who swears allegiance to his captain and dies for his sake.,Good,Schweizer
"A clever, wealthy young officer who poses as a poor ensign to win the romantic Lydia, successfully navigating a series of comical misunderstandings.",Good,Captain Jack Absolute (Ensign Beverley)
"A beautiful, wealthy young woman whose head is filled with romantic novel fantasies; she initially scorns Jack's true identity but is won over by his willingness to duel.",Good,Lydia Languish
"Lydia's aunt, known for her constant, humorous misuse of language ('malapropisms'). She initially opposes the match but relents.",Neutral,Mrs. Malaprop
"Jack's strong-willed, dictatorial father who insists on an arranged marriage, but is ultimately a comic figure whose initial anger is appeased.",Neutral,Sir Anthony Absolute
"Jack's friend, a man constantly consumed by paranoid insecurities and jealousies regarding his virtuous fiancée, Julia Melville.",Bad,Faulkland
"Lydia's virtuous, sensible cousin and Faulkland's fiancée, whose calm temperament is tested by Faulkland's needless anxieties.",Good,Julia Melville
"A rich, country squire who awkwardly attempts to become a man-about-town; he challenges Jack to a duel but is relieved when it's avoided.",Neutral,Bob Acres
A millionaire paint manufacturer and a self-made man; a brusque but fundamentally honest figure who chooses moral integrity over financial solvency.,Good,Silas Lapham
"Silas's industrious wife and partner, who is more aware of Boston's social barriers and initially urges Silas to business dealings that raise moral questions.",Good,Persis Lapham
"The Laphams' older daughter; satirical, humorous, and secretly in love with Tom Corey, whose guilt-driven refusal of him highlights her high moral sense.",Good,Penelope Lapham (Pen)
"The Laphams' beautiful younger daughter, who mistakenly believes Tom Corey is in love with her, leading to her deep but temporary heartbreak.",Good,Irene Lapham
"The son of an old Boston family; stable, gracious, and business-minded, who is in love with Penelope despite misleading both families.",Good,Tom Corey
"Silas Lapham's former, disreputable business partner who repeatedly attempts to blackmail or coerce Silas for assistance, representing a moral threat.",Bad,Milton K. Rogers
"Tom's father; an old Boston aristocrat and painter, who is detached and views life as an amusing process, but is protective of his family's social standing.",Neutral,Bromfield Corey
The protagonist; an old sailor cursed to wander the earth and compulsively tell his cautionary tale after committing the sin of killing the Albatross.,Good,The Ancient Mariner
A young man stopped by the Mariner on his way to a wedding feast; he is compelled to listen to the tale and is transformed by the moral lesson.,Good,The Wedding Guest
The unnamed crew members who share the Mariner's guilt by initially condoning the killing of the Albatross and suffer the consequence of death by thirst.,Neutral,The Sailors (Crew)
"A large, benevolent seabird that follows the ship through the mist and fog; its death by the Mariner's crossbow is the central sin of the poem.",Good,The Albatross
"A spectral woman who wins the Mariner's soul in a dice game with Death, condemning him to a terrifying, death-like existence.",Bad,Life-in-Death
A supernatural figure who appears on the phantom ship and wins the lives of the crew in a dice game.,Bad,Death
A holy man of the land who helps the Mariner find absolution and represents spiritual redemption.,Good,The Hermit
"A wealthy soldier who returns from WWI with amnesia, forgetting his wife Kitty but vividly recalling his first, true love, Margaret Grey.",Good,Chris Baldry
"Chris's cousin and the narrator, who lives at Baldry Court. She is initially critical of Margaret but grows to admire her spiritual grace.",Good,Jenny
Chris's beautiful but vain and materialistic wife whom he forgets. She is concerned with social convention and the appearance of their home.,Bad,Kitty Baldry
"Chris's first, true love; a plain woman of low social status whose deep, genuine love and 'saintly' spirit ultimately restores Chris's memory.",Good,Margaret Allington Grey
"Margaret's nondescript, lower-class husband who is mentioned only in passing, highlighting Margaret's dreary, ordinary life.",Neutral,Mr. Grey
"Chris and Kitty's young son, who died years before the novel begins; his loss is a central, haunting element of Chris's suppressed memory.",Neutral,Oliver
The physician attending to Chris who realizes the cause of the amnesia and recommends the family search for Margaret Grey.,Neutral,The Doctor (Unnamed)
"A native of Egdon Heath and former diamond merchant who returns with a misguided desire to educate the locals, leading to a tragic, unhappy marriage.",Good,Clym Yeobright
"A beautiful, passionate, and self-seeking woman who despises the heath and marries Clym only as a means to escape to a more exciting life, culminating in her suicide.",Bad,Eustacia Vye
Clym's mother; a sensible but rigid woman who opposes her son's marriage to Eustacia and dies of exposure and snakebite after being rejected by her.,Good,Mrs. Yeobright
"A selfish, uninspired former engineer and current innkeeper who is perpetually caught between his marriage to Thomasin and his pursuit of Eustacia.",Bad,Damon Wildeve
"Clym's devoted, simple, and gentle cousin who is married to Damon Wildeve and patiently pursued by Diggory Venn, eventually finding happiness.",Good,Thomasin Yeobright (Tamsin)
"A patient, persistent, and good-hearted reddleman (maker of red dye) who secretly and selflessly protects Thomasin until she is free to marry him.",Good,Diggory Venn
"Eustacia's aging grandfather, a retired seaman who is unaware of his granddaughter's intense unhappiness and does little to prevent her tragedy.",Neutral,Captain Vye
"The brilliant consulting detective, returning from presumed death, who uses his unparalleled powers of deduction to solve complex, unusual crimes.",Good,Sherlock Holmes
"Holmes's loyal friend and narrator, a former military doctor who rejoices at Holmes's return and chronicles his renewed detective work.",Good,Dr. John H. Watson
A notorious criminal and the chief of staff to Professor Moriarty; Holmes's would-be assassin and the murderer in 'The Empty House'.,Bad,Colonel Sebastian Moran
A young lawyer falsely accused of murder by Jonas Oldacre in 'The Norwood Builder'.,Good,John Hector McFarlane
"A cynical, fraudulent builder who fakes his own death to frame McFarlane as an act of revenge in 'The Norwood Builder'.",Bad,Jonas Oldacre
A young woman in 'The Solitary Cyclist' who is harassed and kidnapped for her inheritance.,Good,Violet Smith
The illegitimate son of the Duke of Holdernesse who schemes to kidnap his younger half-brother to gain legitimacy in 'The Priory School'.,Bad,James Wilder
"The ambitious, opportunistic protagonist; a brilliant young man of low birth whose self-pride and intellect drive him to seek success in the rigid post-Napoleonic French society.",Ambiguous,Julien Sorel
"Julien's first mistress and greatest love; a beautiful, compassionate, but bigoted aristocratic woman whose revelation of their affair leads to tragedy.",Good,Madame de Rênal
"A proud, intelligent aristocrat who is bored with conventionality and shamelessly pursues Julien as a romantic distraction, leading to her own scandal.",Ambiguous,Mathilde de La Mole
"Mathilde's father; a subtle, learned aristocrat who elevates Julien but ultimately schemes to negotiate his downfall due to family pride.",Ambiguous,The Marquis de La Mole
"The miserly, vulgar mayor and village aristocrat; Julien's first employer who is consumed by jealousy and status-seeking.",Bad,M. de Rênal
"The local parish priest who recognizes Julien's genius and supports his ambition, later grieving over his student's misadventures.",Good,The Abbé Chélan
"A devoted, bourgeois friend of Julien's who offers him honest work and tries to use his entire fortune to free Julien after his arrest.",Good,Fouqué
"The young, naive private of the Union Army and protagonist who is initially filled with romantic dreams of glory but flees his first battle out of fear.",Ambiguous,Henry Fleming
"The 'tall soldier'; Henry's friend from home who admits he would run from battle but later dies a defiant, painful death from his wounds.",Good,Jim Conklin
"A wounded man returning from battle who questions Henry about his own 'red badge of courage', causing Henry immense shame.",Neutral,The Tattered Soldier
"Henry's commanding officer, a young man who shows bravery and leads the charge, but casually dismisses his men as 'mule drivers'.",Neutral,The Lieutenant (Unnamed)
"The 'loud soldier', who initially acts as a confident foil to Henry but later reveals his own fear and proves his friendship to Henry.",Good,Wilson
"A simple woman who initially protested Henry's enlistment with common sense, rather than romanticism, and gave him sensible parting advice.",Good,Henry's Mother
"A decaying body Henry finds in a peaceful clearing, which brings him face-to-face with the reality of death and motivates his flight.",Neutral,The Corpse (Unnamed)
"The 7th Avatar of God Vishnu; the protagonist and ideal son/king, embodying all virtues and Dharma (righteous conduct).",Good,Rama
The Avatar of Goddess Lakshmi and Rama's beloved wife; the epitome of female purity and virtue who is abducted by Ravana.,Good,Sita
Rama's younger brother and twin of Shatrughna; the ideal brother who chooses to go into exile with Rama and Sita to serve and protect them.,Good,Lakshmana
"Son of King Dasharatha and Queen Kaikeyi, who refuses to ascend the throne after Rama's exile and rules as Rama's regent, placing his sandals on the throne.",Good,Bharata
"The demon King of Lanka, whose arrogance and lust lead him to abduct Sita, resulting in the great war.",Bad,Ravana
The King of Ayodhya and father of the four brothers. He dies heartbroken after being forced to send Rama into exile by Queen Kaikeyi.,Good,Dasharatha
"One of Dasharatha's three wives. She is fundamentally good-natured but is corrupted by her maid, Manthara, to demand Rama's exile and Bharata's coronation.",Bad,Kaikeyi
"A prudent, ambitious Russian officer obsessed with gambling. He coldly calculates a plan to learn a card secret, leading to the Countess's death and his own descent into madness.",Bad,Hermann
"A capricious, tyrannical eighty-seven-year-old dowager who possesses the secret of the three winning cards and dies of fright after being terrorized by Hermann.",Neutral,The Countess (Anna Fedotovna)
"The Countess's poor, timid ward who is seduced by Hermann's feigned love, only to be disillusioned when she learns he only wanted access to the Countess.",Good,Elizaveta Ivanovna (Liza)
The Countess's amiable grandson whose telling of the card secret story inflames Hermann's imagination.,Neutral,Pavel Tomsky
"A renowned Moscow gambler who plays against Hermann and defeats him, leading to Hermann's final breakdown.",Neutral,Chekalinsky
"A historical figure and diplomat who, in the Countess's youth, reveals the three-card secret to her to help her repay a gambling debt.",Neutral,Count St. Germain
"A gambler who, in his youth, was given the card secret by the Countess to help him out of desperation, but later squandered his millions.",Neutral,Chaplitsky
The protagonist and narrator; a tormented man who becomes the sole survivor of a toxic purple cloud and embarks on a nihilistic journey across a depopulated Earth.,Ambiguous,Adam Jeffson
"Jeffson's fiancée who is killed in the North Pole. Her name is later reused for the girl Leda, symbolizing a lost innocence.",Neutral,Clodagh (Jeffson's Fiancée)
"A young girl found by Jeffson who was born after the cloud's passage. She is innocent and represents the potential for repopulation, which Jeffson initially resists.",Good,Leda (The Girl)
"A figure who prophesies disaster should anyone reach the North Pole, whose warning proves correct.",Neutral,The Preacher (Unnamed)
"One of the two rival cosmic forces (the other being 'the black') that Jeffson believes are tormenting him, symbolizing light or good providence.",Good,The White
"One of the two rival cosmic forces that Jeffson believes are using him as a battleground, symbolizing darkness or evil fate.",Bad,The Black
The other members of the North Pole expedition whom Jeffson murders before the purple cloud event.,Neutral,The Crew of the Expedition (Unnamed)
"The heroine; an independent, unworldly American heiress who comes to Europe to 'be educated' but is tragically ensnared in a controlling, manipulative marriage.",Good,Isabel Archer
"An aesthetic, self-absorbed American expatriate who marries Isabel solely for her fortune and attempts to crush her independence to fit his 'collection'.",Bad,Gilbert Osmond
"Isabel's friend and a manipulative woman who promotes Isabel's marriage to Osmond, later revealed to be Osmond's former mistress and the mother of his daughter.",Bad,Madame Merle
"Isabel's ailing, compassionate cousin who loves her deeply and orchestrates her inheritance in a misguided attempt to free her, acting as her chief benefactor.",Good,Ralph Touchett
"Isabel's faithful, persistent American suitor who represents directness and simplicity, unable to understand her choice of a European marriage.",Good,Caspar Goodwood
"Gilbert Osmond's innocent, dutiful daughter (whose mother is Madame Merle) whom Isabel loves and feels a sense of obligation towards.",Good,Pansy Osmond
"Osmond's cynical, gossiping sister who reveals the truth of the relationship between Osmond and Madame Merle to Isabel.",Neutral,Countess Gemini
The protagonist; a meek boy who is transformed into a 'Playboy' hero by the villagers' admiration after claiming he killed his domineering father.,Ambiguous,Christopher 'Christy' Mahon
"The innkeeper's pretty, spirited daughter who falls for Christy because of his supposed heroic act, but joins the others in denouncing him when his act is proven real.",Ambiguous,Margaret 'Pegeen' Flaherty
Christy's domineering father whom Christy strikes and presumes dead (twice); he is ultimately pleased his son is no longer a timid weakling.,Neutral,Old Mahon
"A shrewd, independent villager who is initially interested in Christy for herself and attempts to misdirect his father.",Neutral,Widow Quin (Dame Quin)
"Pegeen's father and the owner of the inn, who is pleased to have the famous Christy around and approves of his daughter's betrothal to him.",Neutral,Michael Flaherty
"A timid, wealthy farmer who is Pegeen's original fiancé and is easily outmatched by Christy's supposed bravado.",Bad,Shawn Keogh
The community who initially idealize Christy's act of patricide but quickly turn on him when the reality of violence confronts them.,Neutral,The Villagers (Mayo Men)
"An old, rugged hunter and scout who symbolizes the independent spirit of the frontier; an honest, true moral guide in conflict with the settlement's law.",Good,Natty Bumppo (Leatherstocking)
"A wealthy, pragmatic frontier landowner and founder of the settlement (Templeton). He is good-intentioned but represents the encroachment of civilization and law.",Ambiguous,Judge Temple
"The Judge's beautiful, well-educated daughter, who returns to Templeton and is torn between the civilized world and her developing appreciation for the wilderness.",Good,Elizabeth Temple
"A proud, secretive young man who is Natty's friend and initially resents Judge Temple, believing the Judge stole his inheritance, but is later reconciled.",Good,Oliver Edwards (Edward Effingham)
Natty Bumppo's old Mohican companion; a stoic figure representing the vanishing Native American presence in the face of settlement.,Good,Indian John (Chingachgook)
"A local, petty magistrate who represents the corrupt, nosy, and oppressive aspects of the new settlement's law.",Bad,Hiram Doolittle
"The minister's timid daughter and Elizabeth's friend, representing the delicate, sheltered ideals of the civilized community.",Neutral,Louisa Grant
"The beautiful young protagonist who wishes his portrait would bear the marks of age and sin, enabling him to pursue a life of hedonistic corruption without consequence.",Bad,Dorian Gray
"A witty, cynical aesthete and nobleman who serves as the moral catalyst for Dorian's downfall, espousing a philosophy of amoral self-indulgence.",Bad,Lord Henry Wotton ('Harry')
"The earnest, moral artist who paints Dorian's fateful portrait and is eventually murdered by Dorian for trying to confront him about his sins.",Good,Basil Hallward
"A talented but poor young actress whom Dorian falls in love with and then cruelly rejects, leading to her suicide.",Good,Sibyl Vane
Sibyl's brother; a sailor who vows revenge against 'Prince Charming' (Dorian) for his sister's death and is accidentally killed during a hunting trip.,Good,James Vane
A gifted chemist and former friend of Dorian's whom Dorian blackmails into destroying Basil Hallward's body.,Bad,Alan Campbell
"Lord Henry's aunt; a kind, socially active woman who is part of the high society that celebrates Dorian's beauty.",Good,Lady Agatha
"The optimistic, benevolent, and naive protagonist, a retired gentleman and founder of the Pickwick Club, whose goodwill often lands him in ridiculous situations.",Good,Samuel Pickwick
"Pickwick's loyal, street-smart, and witty cockney servant whose wisdom and practicality often rescue his master from tricky situations.",Good,Sam Weller
"A mischievous, penniless scam-artist and confidence man whose sporadic appearances and ruses cause much of the novel's chaos.",Bad,Alfred Jingle
"Pickwick's landlady who mistakenly believes he proposed to her and sues him for breach of promise, leading to his imprisonment.",Neutral,Mrs. Bardell
One of Pickwick's three fellow 'Pickwickians'; the optimistically romantic and susceptible member of the club.,Good,Tracey Tupman
Another 'Pickwickian'; the hapless sportsman whose attempts at athletic prowess invariably result in comical difficulties.,Good,Nathaniel Winkle
"The third 'Pickwickian'; a serene, aspiring poet who is the most outwardly emotional of the three companions.",Good,Augustus Snodgrass
"The deformed, brilliant musical genius who secretly lives beneath the Paris Opéra. He is a tormented, violent character consumed by an obsessive, unrequited love for Christine Daaé.",Ambiguous,Erik (The Phantom)
"A young, gifted, and beautiful soprano at the Paris Opéra who is mentored by the Phantom (her 'Angel of Music') and is torn between her two suitors.",Good,Christine Daaé
"Christine's childhood friend and rival for her affection; a young nobleman who is kind, protective, and represents life in the sunlit world.",Good,Vicomte Raoul de Chagny
A mysterious man who knows Erik's secrets and helps Raoul navigate the opera house's subterranean labyrinth to rescue Christine.,Good,The Persian
"Raoul's older brother, who is initially skeptical of the 'Opera Ghost' but is later killed by the Phantom.",Neutral,Comte Phillipe de Chagny
"The opera's box keeper who acts as the Phantom's reluctant messenger and accomplice, having an uneasy fear and respect for him.",Neutral,Madame Giry
"The new, clueless co-managers of the Paris Opéra who are terrorized and manipulated by the Phantom's ominous demands and letters.",Bad,Armand Moncharmin and Firmin Richard
"The protagonist; an expert, honest wilderness scout whose simple integrity and skill are unmatched, but who is naive in the affairs of the heart.",Good,Pathfinder (Natty Bumppo)
"The young, warm, and pretty daughter of Sergeant Dunham who is devoted to her father but in love with Pathfinder's friend, Jasper Western.",Good,Mabel Dunham
"Pathfinder's younger companion; a skilled, honorable freshwater sailor who is wrongly suspected of being a French spy but is the true object of Mabel's love.",Good,Jasper Western (Eau-douce)
"Mabel's father, a military man who wishes to promote a marriage between his daughter and Pathfinder for her protection, but dies before his mistake is corrected.",Good,Sergeant Thomas Dunham
"Mabel's crusty, common-sense seaman uncle who accompanies her and is initially suspicious of Jasper, but later earns respect for him.",Good,Charles Cap
The glib quartermaster at Fort Oswego; a deceitful officer who is secretly a French spy and attempts to frame Jasper Western.,Bad,Lieutenant Davy Muir
A bold Tuscarora chief who leads ambushes against the English and is killed by Chingachgook.,Bad,Arrowhead
"The protagonist and King of Ithaca; a cunning, clever, flawed hero who spends ten years returning home from the Trojan War, overcoming many monsters and gods.",Good,Odysseus (Ulysses)
"Odysseus's young son who, guided by Athena, matures from a nervous youth to a confident man who helps his father reclaim the throne.",Good,Telemachus
"Odysseus's wife; a loyal, clever, and patient queen who fends off scores of suitors for two decades by using her wits.",Good,Penelope
"The Goddess of Wisdom and War who is Odysseus's constant, divine protector and patron, intervening frequently on his behalf.",Good,Athena
"The Sea God and primary divine antagonist who holds a grudge against Odysseus for blinding his son, Polyphemus, and creates great storms.",Bad,Poseidon
"A massive, cannibalistic Cyclops and son of Poseidon whom Odysseus blinds with a stake, incurring the wrath of his father.",Bad,Polyphemus
"The most arrogant, violent, and ruthless of Penelope's suitors; the first one to be killed by Odysseus.",Bad,Antinous
The protagonist; a beautiful young woman with a mysterious past who is torn between her loyalty to her adopted father and her love for Wils.,Good,Columbine 'Collie' Bellounds
A gunfighter with a mysterious past and a tragic secret who is hired on the ranch. He is Columbine's true father and a morally complex but ultimately good figure.,Ambiguous,Ben Wade (The Mysterious Rider)
A loyal cowboy-ranch hand who genuinely loves Columbine and is her eventual husband.,Good,Wilson 'Wils' Moore
"Bill Bellounds' biological son; a criminal, alcoholic, and violent man who endlessly harasses Columbine and plots against Wils.",Bad,Buster Jack Bellounds
"Columbine's aging, wealthy adopted father; he is admired but is blinded by his love for his degenerate son, Jack.",Ambiguous,Bill Bellounds
Ben Wade's estranged wife and the mother of Columbine (Collie); mentioned as the cause of Ben's shame.,Neutral,Lucy Wade
"A group of cattle thieves and killers whom Buster Jack works with, representing the general lawlessness of the frontier.",Bad,The Rustlers
"A virtuous, sensitive young French aristocrat and the heroine, whose resilience allows her to survive many harrowing trials and threats to her life.",Good,Emily St. Aubert
"A sinister, villainous Italian bandit who marries Emily's aunt to seize her estates and force Emily into an undesirable marriage.",Bad,Signor Montoni
"A young, noble Frenchman and Emily's true love, whose separation from Emily forms the novel's central romantic tension.",Good,Valancourt
"Emily's aunt, a vain and selfish woman who marries Montoni and suffers terribly under his cruel treatment.",Bad,Madame Montoni
"Emily's kind, philosophical father, whose death precipitates Emily's trials but whose wisdom remains her moral guide.",Good,Monsieur St. Aubert
A Venetian nobleman who is violently in love with Emily and whom Montoni tries to force her to marry.,Bad,Count Morano
A loyal servant who helps Emily and her friends escape from the castle of Udolpho.,Good,Ludovico
"An English stockbroker consumed by a radical, obsessive passion for painting, for which he abandons his family and lives a life of cruel neglect and artistic isolation.",Ambiguous,Charles Strickland
"Charles's conventional, commonplace English wife and mother who cannot comprehend her husband's desertion or his posthumous fame.",Neutral,Amy Strickland
"A kind, buffoonish Dutch artist and Strickland's friend who nurses him during an illness, only to be betrayed by his wife and Strickland.",Good,Dirk Stroeve
Dirk's English wife; a reserved woman who is seduced by Strickland and then kills herself when he abandons her after using her as a model.,Bad,Blanche Stroeve
"A conventional writer and acquaintance of Strickland, who chronicles the artist's life and tries to reconcile his genius with his moral brutality.",Neutral,The Narrator (Unnamed)
Strickland's faithful Tahitian wife who cares for him until his death from leprosy and honors his last wish by destroying his final masterpiece.,Good,Ata
An old French doctor who diagnoses Strickland with leprosy and is given one of the artist's paintings in payment.,Good,Dr. Coutras
"The kind, hospitable, but impulsive father who retrieves the monkey's paw and makes the three devastating wishes.",Good,Mr. White
"Mr. White's wife and Herbert's mother; a kind woman who is consumed by grief after her son's death, leading her to demand the second wish.",Good,Mrs. White
"Mr. and Mrs. White's good-natured, good-humoured son who is playfully skeptical of the paw and is killed as a result of the first wish.",Good,Herbert White
An old friend of Mr. White's and a military veteran who brings the monkey's paw to the house and repeatedly warns the family of its terrible power.,Good,Sergeant-Major Morris
"A mysterious talisman from India that grants three wishes, but only at the cost of terrible, often ironic, consequences.",Bad,The Monkey's Paw
The representative from Herbert's work who arrives to inform the Whites of their son's death and the monetary compensation.,Neutral,The Solicitor (Lawyer)
"The terrifying, half-rational result of the second wish, whose unnatural knocking at the door prompts the third wish.",Bad,The Corpse of Herbert
"The arrogant, self-confident, and gullible noble who attempts to seduce two wealthy married women to acquire their husbands' riches, only to be tricked and humiliated.",Bad,Sir John Falstaff
One of the two 'merry wives'; a clever woman whose husband's jealousy is tested as she conspires with Mistress Page to trick and embarrass Falstaff.,Good,Mistress Ford
"The other 'merry wife'; Mistress Ford's accomplice in the pranks, who also schemes to have her daughter marry Dr. Caius.",Good,Mistress Page
"Mistress Ford's incredibly jealous husband, who disguises himself as 'Master Brook' to pay Falstaff to test his wife's virtue.",Neutral,Master Ford
"Mistress Page's trusting husband who opposes his wife's choice of suitor for their daughter, Anne, preferring Slender.",Neutral,Master Page
"Daughter of Master and Mistress Page, who is pursued by three suitors but ultimately marries Fenton, the man of her choice.",Good,Anne Page
"A poor but honest nobleman and Anne Page's preferred suitor, who ultimately outwits her parents' plans and marries her for love.",Good,Fenton
"The protagonist; a noble, moral outlaw, skilled archer, thief, and trickster who steals from the rich to give to the poor.",Good,Robin Hood
"One of the first to join the 'Merry Men' and Robin Hood's loyal, physically strong right-hand man.",Good,Little John
"A jovial, strong priest and former monk who leaves his restrictive order to join the freedom of the 'Merry Men'.",Good,Friar Tuck
"A close, fierce member of the 'Merry Men', often known for his fine dress and quick temper.",Good,Will Scarlet
"Robin Hood's loyal love interest, sometimes disguised as a peasant or even a man to join him in the forest.",Good,Maid Marian
"Robin Hood's main adversary; a corrupt, cruel, and greedy official of the King.",Bad,The Sheriff of Nottingham
"The just, good king who is away on Crusade and whose bitter brother, King John, creates the conditions for Robin Hood's outlaw life.",Good,King Richard the Lionheart
"A wealthy Jewish moneylender in Venice and the play's primary antagonist, driven by deep animosity and revenge against the Christians, especially Antonio.",Ambiguous,Shylock
"A rich heiress of Belmont; beautiful, witty, and dutiful, who disguises herself as a male lawyer to save Antonio's life in the courtroom.",Good,Portia
"The Merchant of Venice; a Christian man who is melancholic but generous to his friends, yet shows public cruelty and prejudice toward Shylock.",Ambiguous,Antonio
"Antonio's younger, carefree friend who seeks to marry Portia for her wealth and is the cause of Antonio's peril.",Neutral,Bassanio
"Shylock's daughter, who converts to Christianity and elopes with the Christian Lorenzo, stealing her father's ducats and a precious ring.",Bad,Jessica
"A friend of Bassanio and Antonio who marries Jessica, representing Christian romantic love.",Good,Lorenzo
"Bassanio's spirited and often vulgar friend who marries Portia's maid, Nerissa.",Neutral,Gratiano
"The tragic protagonist and Mayor of Casterbridge; an impulsive, proud, but powerful man whose terrible actions (selling his wife and child) set the course for his eventual downfall.",Bad,Michael Henchard
"Michael Henchard's wife, whom he sells in a drunken rage. She is passive and dutiful, returning years later to restore their marriage.",Good,Susan Henchard
"A pleasant, business-savvy young Scotsman who becomes Henchard's manager, rival, and eventual successor in business and in love.",Good,Donald Farfrae
"Susan's daughter (by Richard Newson) who is initially mistaken for Henchard's child; she is quiet, sensible, and morally resilient.",Good,Elizabeth-Jane Newson
"A young woman who has a prior, scandalous connection to Henchard, but marries Donald Farfrae for love and security.",Neutral,Lucetta Templeman
"The sailor who buys Susan and Elizabeth-Jane. He fakes his death but is ultimately a kind, honest man and Elizabeth-Jane's biological father.",Good,Richard Newson
A spiteful former assistant who is overlooked for the manager position and later exacts a cruel revenge on Lucetta.,Bad,Joshua Jopp
"A highly-skilled black surgeon and a moderate intellectual who advocates for a peaceful approach to racial tensions, embodying the novel's moral core.",Good,Dr. William Miller
"An aristocratic white supremacist and editor of the town's newspaper, whose inflammatory articles cause the riots that kill Miller's child.",Bad,Major Philip Carteret
"Dr. Miller's wife and Major Carteret's mixed-race half-sister, who staunchly refuses her sister's offer of financial aid and recognition.",Good,Janet Miller
"A militant black laborer who advocates for armed resistance against the white mob, whose courageous stance is admired despite the focus on moderation.",Good,Josh Green
"Major Carteret's wife and Janet Miller's white half-sister, who is initially prejudiced but is driven by desperation to seek Miller's help for her sick child.",Neutral,Mrs. Carteret
"A representative of the white political elite in the town, who is complicit in the white supremacist agenda.",Bad,General Belmont
"A youthful white physician who lacks Miller's expertise and is powerless to help the Carteret child, highlighting Miller's superior skill.",Neutral,Dr. Evans
The protagonist and 'Man of the Forest'; a self-sufficient hunter and primitive Westerner who lives by nature's law and foils a plot to kidnap the Rayner sisters.,Good,Milt Dale
"An educated, mature young woman from the East who is practical and resilient, eventually falling in love with Milt Dale.",Good,Helen Rayner
"Helen's younger sister; vivacious, excitable, and brave, who accompanies Helen into the forest.",Good,Bo Rayner
A mild-mannered Texas cowhand and Bo's love interest whose temperament can transform into a dangerous gunslinger; a hero in the climax.,Ambiguous,Tom 'Las Vegas' Carmichael
A local landowner and rival of Al Auchincloss who plots to kidnap the Rayner sisters to take over the ranch.,Bad,Beasley
A notorious outlaw and gunman hired by Beasley to carry out the kidnapping of the Rayner sisters.,Bad,Snake Anson
An old rancher and the Rayner sisters' uncle whose impending death creates the opportunity for Beasley's plot.,Neutral,Al Auchincloss
"The protagonist and 'Man of Feeling'; an extremely virtuous, sensitive young Englishman whose belief in human goodness is constantly disappointed, leading to his tragic death.",Good,Mr. Harley
A wealthy heiress of higher station whom Harley loves. She belatedly confesses her love to him on his deathbed and remains single.,Good,Miss Walton
A young London prostitute whom Harley helps to reconcile with her estranged father.,Good,Miss Atkins
"A virtuous, poor farmer who sacrifices his own freedom by joining the army to save his son from a press gang.",Good,Mr. Edwards ('Old Edwards')
Harley's maiden aunt who raises him after his parents' death and instills his deep sense of virtue.,Good,Miss Harley
"Miss Atkins's father, a retired army officer who is reconciled with his daughter through Harley's help.",Good,Mr. Atkins
"A garrulous, wise elderly gentleman whom Harley meets, who shares Edwards's virtue of 'feeling'.",Good,Ben Silton
